STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,COUNTY_NAME
2217,OR@WS ID IT CA BETHR,OLD R A WEST-S ID IT CA BETHANY RIVER,B9D74681310,37.7805,-121517,San Joaquin
2218,DELTA MENDOTA CA - T,DELTA MENDOTA CA - TRACY PUMP-STA,B9D74781351,37.7969,-121585,Alameda
2219,SUGAR CUT A MO      ,SUGAR CUT A MO,B9D74801252,37.8005,-121421,San Joaquin
2220,OLD R BL HEAD       ,Old River below Headwaters,B9D74851200,37.8076,-121331,San Joaquin
2221,DELTA-MENDOTA IT CA ,DELTA-MENDOTA IT CA A BYRON RD,B9D74871347,37.8124,-121579,Contra Costa
2222,OR AB HD OF MR,Old River Above Head of Middle River,B9D74911216,37.8185,-121361,San Joaquin
2223,FABIAN-BELL CA A TRA,FABIAN-BELL CA A TRACY RD BR,B9D74911269,37.8188,-121.45,San Joaquin
2224,MIDDLE RIVER A HEAD ,MIDDLE RIVER A HEAD,B9D74951227,37.8244,-121379,San Joaquin
2225,ITALIAN SLU A BYRON-,ITALIAN SLU A BYRON-BETHANY PUMPS,B9D74961359,37826,-121599,Contra Costa
2226,WCI,West Canal Above Clifton Court Intake,B9D74991332,37.8316,-121554,Contra Costa
2227,BRUSHY C N BYRON    ,BRUSHY C N BYRON,B9D75011365,37.8349,-121609,Contra Costa
2228,ITALIAN SLU NR BYRON,ITALIAN SLU NR BYRON,B9D75031358,37838,-121599,Contra Costa
2229,ITALIAN SLU A CLIFTO,ITALIAN SLU A CLIFTON CT RD BR,B9D75031361,37838,-121603,Contra Costa
2230,ITALIAN SLU A R-D 80,ITALIAN SLU A R-D 800 PUMP,B9D75051362,37.8419,-121604,Contra Costa
2231,ITALIAN SLU NR MO   ,ITALIAN SLU NR MO,B9D75091353,37.8485,-121589,Contra Costa
2232,OLD R A MO OF WEST C,OLD R A MO OF WEST CA,B9D75151339,37858,-121566,Contra Costa
2233,ITALIAN SLU NR MO   ,ITALIAN SLU NR MO,B9D75161348,37.8605,-121581,Contra Costa
2234,SAN JOAQUIN R A BRAN,SAN JOAQUIN R A BRANDT BR,B9D75191193,37.8646,-121323,San Joaquin
2235,MIDDLE R A WILLIAMS ,MIDDLE R A WILLIAMS BR,B9D75261229,37.8763,-121383,San Joaquin
2236,NORTH VICTORIA CA A ,NORTH VICTORIA CA A BONETTI RD,B9D75281316,37.8799,-121527,San Joaquin
2237,FRENCH CAMP SLU A MC,FRENCH CAMP SLU A MCKINLEY AVE,B9D75331161,37.8888,-121269,San Joaquin
2238,SAN JOAQUIN R BL FAI,SAN JOAQUIN R BL FAIRCHILD SCH,B9D75381196,37.8963,-121328,San Joaquin
2239,TRAPPER SLU A MID-LE,"TRAPPER SLU A MID-LENGTH,HD-TO-MO",B9D75461274,37.9096,-121458,San Joaquin
2240,FRENCH CAMP SL AB WA,FRENCH CAMP SL AB WALKER SL,B9D75481174,37.9124,-121291,San Joaquin
2241,NORTH VICTORIA CA NR,NORTH VICTORIA CA NR MIDDLE R,B9D75481316,37.9133,-121527,San Joaquin
2242,INDIAN SL A INDIAN C,INDIAN SL A INDIAN CUT,B9D75511363,37.9177,-121606,Contra Costa
2243,INDIAN SLU NR BRENTW,INDIAN SLU NR BRENTWOOD,B9D75511373,37918,-121623,Contra Costa
2244,CONTRA COSTA-EAST ID,CONTRA COSTA-EAST ID PUMPING PL-1,B9D75511374,37918,-121624,Contra Costa
2245,FRENCH CAMP SL A MOU,FRENCH CAMP SL A MOUTH,B9D75521190,37.9199,-121318,San Joaquin
2246,WHISKY SLU A HOLT   ,WHISKY SLU A HOLT,B9D75611258,37.9352,-121431,San Joaquin
2247,SAN JOAQUIN R A SANT,SAN JOAQUIN R A SANTA FE RR XING,B9D75621200,37.9371,-121334,San Joaquin
2248,MIDDLE R A MOKELUMNE,MIDDLE R A MOKELUMNE AQU,B9D75621317,37.9369,-121.53,San Joaquin
2249,SAN JOAQUIN R BL RR ,SAN JOAQUIN R BL RR BR STK STP OF,B9D75631201,37.9388,-121336,San Joaquin
2250,OLD R A MOKELUMNE AQ,OLD R A MOKELUMNE AQUEDUCT,B9D75631337,37.9374,-121563,Contra Costa
